district,municipaly,year,week,count,yearly_max_diff,yearly_mean_diff,weekly_max_diff,weekly_mean_diff
Kufstein,Alpbach,2020,42,1,0,0.0110946746,0,0.3333333333
Kufstein,Alpbach,2020,43,1,0,0.0110946746,0,0.1666666667
Kufstein,Alpbach,2020,44,0,0,0,0,0
Kufstein,Alpbach,2020,45,1,0,0.0110946746,0,0
Kufstein,Alpbach,2020,46,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,47,1,0,0.0110946746,0.3333333333,1
Kufstein,Alpbach,2020,48,1,0,0.0110946746,0,0
Kufstein,Alpbach,2020,49,0,0,0,0,0
Kufstein,Alpbach,2020,50,0,0,0,0,0
Kufstein,Alpbach,2020,51,1,0,0.0110946746,0.3333333333,1
Kufstein,Alpbach,2020,52,0,0,0,0,0
Kufstein,Thiersee,2020,1,1,0,0.006102071,0,0
Kufstein,Thiersee,2020,2,0,0,0,0,0
Kufstein,Thiersee,2020,3,0,0,0,0,0
Kufstein,Thiersee,2020,4,1,0,0.006102071,0.3333333333,1
Kufstein,Thiersee,2020,5,0,0,0,0,0
Kufstein,Thiersee,2020,6,0,0,0,0,0
Kufstein,Thiersee,2020,7,1,0,0.006102071,0,0.6666666667
Kufstein,Thiersee,2020,8,0,0,0,0,0
Kufstein,Thiersee,2020,9,0,0,0,0,0
Kufstein,Thiersee,2020,10,2,0,0.0157174556,0.3333333333,1
Kufstein,Thiersee,2020,11,0,0,0,0,0
Kufstein,Thiersee,2020,12,0,0,0,0,0
Kufstein,Thiersee,2020,13,1,0,0.006102071,0.3333333333,1
Kufstein,Thiersee,2020,14,0,0,0,0,0
Kufstein,Thiersee,2020,15,0,0,0,0,0
Kufstein,Thiersee,2020,16,0,0,0,0,0
Kufstein,Thiersee,2020,17,0,0,0,0,0
Kufstein,Thiersee,2020,18,2,0,0.0157174556,0.6666666667,2
Kufstein,Thiersee,2020,19,0,0,0,0,0
Kufstein,Thiersee,2020,20,1,0,0.006102071,0.3333333333,1
Kufstein,Thiersee,2020,21,0,0,0,0,0
Kufstein,Thiersee,2020,22,0,0,0,0,0
Kufstein,Thiersee,2020,23,1,0,0.006102071,0.3333333333,1
Kufstein,Thiersee,2020,24,1,0,0.006102071,0.3333333333,1
